user_id,movie_id,rating,timestamp
7,25,3.4,1618227179
20,10,3.2,1643959985
15,22,1.9,1686261879
11,26,4.8,1503609736
8,3,4.1,1575169697
7,8,1.5,1518161634
19,14,4.7,1517163810
11,24,4.9,1646443583
11,18,5.0,1551424149
4,15,1.2,1625966143
8,22,3.9,1635353692
3,23,3.2,1563446855
2,2,3.8,1566318090
12,27,4.9,1694421608
6,10,3.8,1502155748
2,2,4.3,1560676365
1,26,4.5,1666026013
12,17,4.4,1554256930
12,8,2.7,1668645332
17,1,1.9,1508910852
10,9,2.6,1672645754
16,11,4.6,1537617741
15,22,1.6,1599065241
15,16,3.1,1641158973
19,7,1.9,1698987907
12,29,3.3,1515876696
20,10,4.5,1509451244
3,23,4.5,1610838825
5,26,1.9,1574926168
19,3,4.6,1517606951
7,18,3.4,1562056263
9,25,2.4,1507021862
7,24,3.8,1612882279
18,13,2.9,1508351245
4,28,2.5,1605945887
14,26,3.8,1608146354
18,7,2.0,1670858336
9,25,2.3,1505345854
2,4,2.7,1511683982
20,13,2.0,1564365536
15,20,2.6,1692039576
7,1,3.3,1684092816
12,8,4.0,1605546976
8,14,4.1,1570790126
15,16,4.3,1538187510
3,14,4.0,1636826817
14,12,3.7,1687058125
17,19,2.0,1517691444
4,23,2.6,1635171687
18,15,2.9,1678350183
8,28,1.3,1684036390
4,2,3.1,1510016389
2,2,2.7,1587255618
6,23,4.2,1511630982
10,22,4.9,1684894642
4,19,3.2,1596231367
18,25,2.3,1526704425
12,26,1.2,1561298111
2,30,4.7,1679232243
10,29,4.7,1689086734
4,22,2.0,1515586926
14,26,3.8,1643714291
16,26,1.3,1581143014
15,22,1.7,1545745050
8,17,1.9,1665773731
14,20,2.2,1614567717
8,10,5.0,1510321336
16,6,3.8,1583667964
13,15,2.5,1622715546
18,22,3.9,1577859104
15,11,4.7,1644020733
13,28,4.8,1573205955
9,5,1.2,1531738453
15,1,2.6,1614091841
13,8,1.4,1553509641
1,21,2.3,1507583354
7,28,1.7,1519908425
9,12,3.6,1627052640
1,12,2.6,1673585525
12,5,1.9,1537612325
8,7,2.1,1656686220
11,4,2.4,1516413486
19,6,2.0,1645823971
17,13,2.8,1583752812
8,20,1.1,1510688727
3,30,2.1,1678060211
3,15,2.6,1595723191
1,3,3.4,1509828366
5,23,2.1,1671200135
10,8,1.5,1607019524
7,20,1.3,1679320878
9,16,4.8,1645836355
7,13,2.7,1649261131
9,18,3.3,1593982380
8,28,4.7,1639743361
12,10,1.3,1552411802
2,30,4.5,1569353566
1,19,3.2,1654372722
16,17,1.7,1527695858
5,24,2.6,1512920739
3,19,4.1,1683500067
12,28,2.9,1623175705
8,26,4.9,1507726890
3,23,2.5,1656892442
1,26,4.0,1642575684
3,5,2.6,1561413011
5,26,4.3,1592663037
15,21,3.3,1643669065
14,30,1.3,1628953191
3,23,1.1,1589729573
1,9,1.5,1671158661
5,12,1.1,1611030983
14,21,1.3,1605251630
7,1,3.8,1662906457
9,26,3.1,1542019117
15,26,4.0,1621768331
15,1,4.7,1658279897
10,15,3.3,1601918860
13,2,3.9,1560628583
19,30,4.0,1525291709
7,22,2.5,1664474065
17,16,2.0,1525836512
20,25,1.8,1577782638
4,8,2.0,1665766759
5,13,2.1,1630837162
7,21,1.8,1670564587
13,1,4.5,1511309411
15,16,4.0,1687907055
11,29,1.2,1539302467
4,7,2.1,1672162180
13,5,1.1,1598881316
7,22,3.0,1584776775
19,29,2.9,1613246334
2,23,4.3,1618279273
10,3,2.2,1591253744
13,12,4.3,1559220571
6,26,4.9,1689902201
12,16,1.4,1527580296
12,19,4.2,1563655986
20,5,3.4,1679301837
11,22,2.9,1619999784
7,25,2.7,1653271050
1,29,4.1,1557292182
1,14,3.6,1674034265
20,28,4.2,1613378925
13,5,4.6,1607334614
9,15,3.5,1696889400
3,17,4.9,1584380672
7,30,3.4,1580908854
6,14,3.5,1671350386
8,30,3.2,1623589543
9,20,1.4,1694967438
5,5,3.9,1603090836
1,12,3.2,1518492846
19,16,2.8,1597483912
10,26,4.6,1577652169
12,26,2.2,1662306360
15,16,3.1,1519894388
9,21,3.8,1677045145
20,7,4.2,1590190760
17,4,2.8,1599508798
17,1,4.4,1669670899
20,30,4.1,1660612888
12,30,1.3,1692653386
7,5,1.2,1645367425
2,23,3.5,1621118598
3,26,2.4,1647975377
17,10,1.8,1686130906
5,22,3.3,1686636634
17,5,2.4,1563213072
17,4,3.1,1605519743
17,2,2.8,1659364010
2,20,3.3,1641075386
2,10,2.6,1564164715
5,26,3.8,1662132730
1,19,1.7,1568105394
1,26,3.8,1564991256
19,1,2.6,1674003379
2,24,4.5,1688658373
12,5,3.1,1645509876
6,13,4.9,1671136855
4,4,3.4,1630978076
11,16,1.9,1577688894
17,24,4.3,1618485994
6,16,2.4,1531199893
5,23,2.4,1640003993
20,2,1.1,1556240283
2,17,3.2,1608150641
6,28,3.1,1665516756
11,27,2.4,1565170480
16,20,4.6,1663386192
16,24,1.5,1601233747
1,12,2.3,1592294504
9,18,2.3,1601630640
6,3,1.4,1670184309
16,28,2.9,1598138587
3,1,3.8,1650623294
20,1,3.0,1509427504
4,29,1.6,1641240064
19,19,2.5,1519655820
3,11,1.0,1595855581
19,5,4.5,1596231290
20,12,1.3,1599017426
7,3,3.4,1658428477
20,1,4.9,1575761695
9,1,3.1,1631992221
1,8,4.7,1513691164
8,10,1.9,1656979628
7,11,4.0,1511707868
18,12,3.1,1648463901
8,29,3.9,1603357583
1,13,1.2,1510055079
11,12,1.6,1607174930
18,14,1.5,1513781009
10,2,3.7,1689170432
3,29,4.4,1609640269
7,19,4.0,1614070898
16,18,1.1,1567812526
16,3,4.5,1618746097
20,23,2.4,1604755393
17,17,2.6,1647986933
2,26,1.4,1514013403
1,8,3.9,1687208816
16,29,1.7,1610651505
12,26,3.3,1565954738
5,10,4.4,1629880894
5,26,1.4,1673866627
9,30,3.1,1593900039
9,2,1.9,1555849014
3,19,2.4,1537003110
19,9,2.9,1513942402
16,7,2.4,1595785737
16,4,3.6,1589097673
3,26,2.9,1596337874
20,21,3.3,1581602413
1,18,3.9,1614153633
20,13,3.2,1644887163
11,11,3.3,1609033558
17,29,3.3,1677946678
8,24,2.5,1633799387
4,4,2.3,1617204767
6,25,4.6,1622287281
8,21,3.4,1645702236
20,29,2.0,1641667335
3,25,3.0,1616376384
16,4,2.3,1648056822
3,10,4.7,1516701250
18,5,1.0,1687152343
14,9,1.9,1536992982
18,24,2.5,1523656190
2,3,3.0,1584656124
3,17,4.4,1639796807
16,3,1.4,1678707509
9,16,4.2,1614981624
4,4,1.2,1529822180
1,18,4.4,1553517362
4,17,1.2,1619168608
1,7,1.1,1643078663
14,24,3.8,1658662049
16,23,5.0,1649322829
20,30,4.6,1674794015
8,5,3.3,1685527415
7,12,4.7,1576106218
3,17,1.0,1608015503
17,23,4.9,1595277507
1,13,3.0,1529677043
16,23,3.9,1685049252
12,25,4.3,1569071029
19,3,3.9,1575094484
14,9,3.1,1634828941
6,30,2.9,1685318110
6,17,4.4,1549349430
13,17,1.8,1591636655
19,30,4.9,1604904657
8,20,3.8,1555842822
2,16,1.8,1535393865
1,25,3.9,1598820870
15,22,3.1,1587558294
1,13,3.8,1653021524
5,27,4.1,1613954962
16,19,1.3,1506202258
19,17,3.0,1588225315
4,4,4.7,1576989724
3,12,2.3,1699391931
17,29,3.4,1570635601
17,9,2.5,1575899393
12,19,2.8,1653003904
14,12,3.2,1521232430
6,9,3.2,1625917075
3,7,1.8,1600355594
9,28,3.7,1540473321
5,14,1.4,1554148094
17,20,1.6,1520153729
14,19,1.0,1619378390
3,26,1.5,1647008630
1,15,2.9,1577582731
20,16,3.4,1577973011
1,21,4.2,1640411684
3,5,1.4,1647796901
18,3,4.4,1602368511
